,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-192.91289286,-6.889746173571429,280.65531184995405,-2.075323779999999,28,"{'Zn': 4.0, 'Cr': 8.0, 'O': 16.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.18916148285714396,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}","['mvc-16347', 'mp-1048271', 'mp-1048305', 'mp-1048310', 'mvc-12643', 'mp-1345218', 'mp-1773881']",2.0598,5.523755427152071,0.051752025,mvc-12643,oxide,[],
1,-95.21146484,-6.800818917142857,155.32619384762302,-1.9951782135714282,14,"{'Zn': 2.0, 'Cr': 4.0, 'O': 8.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.27808873928571476,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Imma', 'number': 74, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2b 2'}","['mp-1041918', 'mp-1041923', 'mvc-6919', 'mp-1041909', 'mp-1403039', 'mp-1731244', 'mp-1773610']",0.0,4.9903730452285355,1.4929827,mvc-6919,oxide,[],
2,-99.10470719,-7.078907656428571,152.38955148343453,-2.290019453571428,14,"{'Zn': 2.0, 'Cr': 4.0, 'O': 8.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.0,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fd-3m', 'number': 227, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': 'F 4d 2 3 -1d'}","['mp-846997', 'mp-847516', 'mp-796417', 'mvc-11550', 'mvc-12379', 'mp-647558', 'mp-19410', 'mp-1103764', 'mp-1103839', 'mp-1104007', 'mp-1104407', 'mp-1104478', 'mp-1104733', 'mp-842337', 'mp-682829', 'mp-841955', 'mp-1271806', 'mp-1271810', 'mp-1272021', 'mp-1277250', 'mp-1297889', 'mp-1442188', 'mp-1541352', 'mp-1542687', 'mp-1594446', 'mp-1670480']",2.6233,5.0865406679760525,5.3e-05,mp-19410,oxide,"['Spinel', 'Zinc tetraoxodichromate(III)', 'Zinc dichromium tetraoxide', 'Zinc dichromate(III)', 'Zinc dichromium oxide', 'Zinc chromiumtetraoxid', 'Spinel (Zn-,Cr-exchanged)', 'Zincochromite']",
3,-172.2023232,-6.150082971428572,311.3457257619552,-2.0724705782142854,28,"{'Zn': 4.0, 'Cr': 8.0, 'O': 16.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.9288246850000013,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmmn', 'number': 59, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': 'P 2 2ab -1ab'}","['mvc-12607', 'mp-1378442', 'mp-1771128']",0.0,4.979259947109496,0.229944725,mvc-12607,oxide,[],
4,-96.92808809,-6.923434863571429,154.86101046259807,-2.113060337857142,14,"{'Zn': 2.0, 'Cr': 4.0, 'O': 8.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.1554727928571431,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R3m', 'number': 160, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'R 3 -2""'}","['mvc-9986', 'mp-1048872', 'mp-1048880', 'mp-1048879', 'mp-1410768', 'mp-1743697', 'mp-1773738']",1.4876000000000005,5.005363510670947,0.9974862,mvc-9986,oxide,[],
5,-96.61132716,-6.900809082857143,141.12546985452948,-2.083369205,14,"{'Zn': 2.0, 'Cr': 4.0, 'O': 8.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.1780985735714289,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}","['mvc-6410', 'mp-1047685', 'mp-1047680', 'mp-1047692', 'mp-1392105', 'mp-1742458', 'mp-1773860']",0.0,5.492528398978024,0.8572639,mvc-6410,oxide,[],
6,-295.10388663,-7.026283015,459.01020887435686,-2.2373948121428566,42,"{'Zn': 6.0, 'Cr': 12.0, 'O': 24.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.05262464142857226,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}","['mvc-9952', 'mp-1048859', 'mp-1048888', 'mp-1048920', 'mp-1360347']",1.1480000000000001,5.06613340624388,6.000000033333333,mvc-9952,oxide,[],
7,-293.04843685,-6.977343734523809,462.92738168956396,-2.188455531666666,42,"{'Zn': 6.0, 'Cr': 12.0, 'O': 24.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.10156392190476282,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}","['mvc-10098', 'mp-1040929', 'mp-1040935', 'mp-1040950', 'mp-1354500']",0.9718999999999998,5.023265084251947,6.000000016666667,mvc-10098,oxide,[],
8,-384.70772568,-6.869780815714286,619.067607100594,-2.0808926128571423,56,"{'Zn': 8.0, 'Cr': 16.0, 'O': 32.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.2091268407142861,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}","['mvc-5089', 'mp-1365412']",0.8534000000000002,5.008407108396264,6.000000025,mvc-5089,oxide,[],
9,-95.86211967,-6.847294262142857,156.50733683387693,-2.0343611421428562,14,"{'Zn': 2.0, 'Cr': 4.0, 'O': 8.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.23161339428571548,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}","['mvc-12571', 'mp-1409107', 'mp-1733490', 'mp-1773539']",0.0,4.952711270129654,1.12844245,mvc-12571,oxide,[],
10,-185.28122297,-6.617186534642856,282.9519710103384,-2.0819376078571423,28,"{'Zn': 4.0, 'Cr': 8.0, 'O': 16.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.46172112178571556,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pbcm', 'number': 57, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2c 2b'}","['mvc-6817', 'mp-1041795', 'mp-1041789', 'mp-1041796', 'mp-1345427', 'mp-1770663']",1.7523999999999997,5.478920314478378,0.0298563,mvc-6817,oxide,[],
11,-268.65076609,-6.396446811666666,462.56889108782593,-2.0358536985714286,42,"{'Zn': 6.0, 'Cr': 12.0, 'O': 24.0}",ZnCr2O4,True,"['Cr', 'O', 'Zn']",3,0.6824608447619056,"{'Zn': 0.0, 'Cr': 3.7, 'O': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}","['mvc-5335', 'mp-1362371', 'mp-1770883']",0.0,5.027158111555421,0.008684466666666666,mvc-5335,oxide,[],
